券码,订单ID,核销时间,核销金额,购买数量,门店
7001234567890001,D20240803003,2024-08-03 12:11:05,34.00,2,模拟-申北路店
7001234567890002,D20240803003,2024-08-03 12:11:40,34.00,2,模拟-申北路店
7001234567890003,D20240808008,2024-08-08 19:02:10,44.00,1,模拟-莘庄店
7001234567890004,D20240808008,2024-08-08 19:05:00,44.00,1,模拟-莘庄店
7001234567890010,D20240801001,2024-08-01 10:00:00,25.00,2,模拟-莘庄店
7001234567890011,D20240802002,2024-08-03 11:07:00,25.00,1,模拟-七宝店
7001234567890012,D20240804004,2024-08-07 13:21:00,34.00,2,模拟-莘庄店
7.00123E+15,D20240805005,2024-08-09 14:28:00,34.00,1,模拟-莘庄店
7001234567890014,D20240806006,2024-08-11 15:35:00,34.00,1,模拟-七宝店
7001234567890015,D20240807007,2024-08-13 16:42:00,84.00,2,模拟-莘庄店
7001234567890016,D20240809009,2024-08-17 18:56:00,84.00,1,模拟-申北路店
7001234567890017,D20240810010,2024-08-01 10:03:00,34.00,2,模拟-申北路店
7001234567890030,D20240813013,-,-,1,模拟-七宝店
