订单ID,下单时间,支付时间,门店,商品ID,商品名称,购买数量,用户实付金额,订单实收金额,订单状态
D20240801001,2024-08-01 09:00:00,2024-08-01 09:07:00,模拟-申北路店,12345,模拟-50元代金券,1,50.00,50.00,已完成
D20240802002,2024-08-02 09:37:13,2024-08-02 09:44:13,模拟-莘庄店,12345,模拟-50元代金券,2,100.00,100.00,已完成
D20240803003,2024-08-03 10:14:26,2024-08-03 10:42:26,模拟-七宝店,0001234,模拟-双人套餐A,1,168.00,168.00,已完成
D20240804004,2024-08-04 10:51:39,2024-08-04 11:20:39,模拟-七宝店,12345,模拟-50元代金券,1,45.00,45.00,已完成
D20240805005,2024-08-05 11:28:52,,模拟-七宝店,0001234,模拟-双人套餐A,1,168.00,0.00,待支付
D20240806006,2024-08-06 12:05:05,2024-08-06 12:06:05,模拟-申北路店,0002345,模拟-单人套餐B,1,88.00,88.00,已完成
D20240807007,2024-08-07 12:42:18,2024-08-07 12:54:18,模拟-七宝店,0001234,模拟-双人套餐A,2,336.00,336.00,已完成
D20240808008,2024-08-08 13:19:31,2024-08-08 13:46:31,模拟-七宝店,0002345,模拟-单人套餐B,1,88.00,88.00,已完成
D20240809009,2024-08-09 13:56:44,2024-08-09 14:19:44,模拟-七宝店,12345,模拟-50元代金券,4,200.00,200.00,已完成
D20240810010,2024-08-10 14:33:57,未支付,模拟-申北路店,0003456,模拟-四人套餐C,2,656.00,0.00,已取消
D20240811011,2024-08-11 15:10:10,2024-08-11 15:31:10,模拟-申北路店,0001234,模拟-双人套餐A,4,604.80,604.80,已完成
D20240812012,2024-08-12 15:47:23,2024-08-12 15:58:23,模拟-七宝店,12345,模拟-50元代金券,2,100.00,100.00,已完成
D20240813013,2024-08-13 16:24:36,2024-08-13 16:49:36,模拟-莘庄店,0002345,模拟-单人套餐B,2,176.00,176.00,已完成
D20240814014,2024-08-14 17:01:49,2024-08-14 17:09:49,模拟-七宝店,0003456,模拟-四人套餐C,1,328.00,328.00,已完成
D20240815015,2024-08-15 17:38:02,2024-08-15 17:44:02,模拟-申北路店,0001234,模拟-双人套餐A,2,-,0.00,已退款
D20240816016,2024-08-16 18:15:15,2024-08-16 18:38:15,模拟-莘庄店,12345,模拟-50元代金券,1,50.00,50.00,已完成
D20240817017,2024-08-17 18:52:28,2024-08-17 19:21:28,模拟-莘庄店,12345,模拟-50元代金券,1,50.00,50.00,已完成
D20240818018,2024-08-18 09:29:41,2024-08-18 09:51:41,模拟-申北路店,0001234,模拟-双人套餐A,1,151.20,151.20,已完成
D20240819019,2024-08-19 10:06:54,2024-08-19 10:35:54,模拟-莘庄店,0002345,模拟-单人套餐B,1,88.00,88.00,已完成
D20240820020,2024-08-20 10:43:07,2024-08-20 11:00:07,模拟-莘庄店,0001234,模拟-双人套餐A,1,168.00,168.00,已完成
D20240801021,2024-08-01 11:20:20,2024-08-01 11:24:20,模拟-七宝店,0003456,模拟-四人套餐C,2,656.00,656.00,已完成
D20240803003,2024-08-03 10:14:26,2024-08-03 10:42:26,模拟-七宝店,0001234,模拟-双人套餐A,1,168.00,168.00,已完成
